NIP,P6_1_01,P6_1_02,P6_1_03,P6_1_04,P6_1_05,P6_1_06,P6_1_07,P6_1_08,P6_1_09,P6_1_10,P6_2_1,P6_3A_1,P6_3B_1,P6_3C_1,P6_3D_1,P6_2_2,P6_3A_2,P6_3B_2,P6_3C_2,P6_3D_2,P6_2_3,P6_3A_3,P6_3B_3,P6_3C_3,P6_3D_3,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_5_1,P6_5_2,P6_5_3,P6_5_4,P6_5_5,P6_6_1,P6_6_2,P6_6_3,P6_6_4,P6_6_5,P6_6_6,P6_6_7,P6_6_8,P6_6_9
45,1,1,2,2,2,2,2,2,2,2,4,3,3,3,4,2,3,3,3,2,,,,,,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2
256,1,1,2,2,2,2,2,2,2,2,1,1,2,3,3,1,1,2,3,4,,,,,,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2
280,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2
293,1,2,2,2,2,1,2,2,2,2,1,1,3,3,4,,,,,,2,2,3,3,4,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,2,2
389,1,1,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,4,3,4,,,,,,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2
425,1,1,2,2,2,2,2,2,2,2,1,1,3,3,1,1,1,2,3,5,,,,,,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2
640,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,1,3,2,3,4,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2
665,1,2,2,2,2,2,2,2,2,2,3,2,2,3,3,,,,,,,,,,,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2
786,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,1,2,4,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2
800,1,1,2,2,2,2,2,2,2,2,3,2,1,3,4,4,3,4,4,4,,,,,,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2
838,1,2,2,2,1,2,2,2,2,2,2,1,1,2,4,,,,,,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2
