NIP,P6_7_01,P6_7_02,P6_7_03,P6_7_04,P6_7_05,P6_7_06,P6_7_07,P6_7_08,P6_7_09,P6_7_10,P6_8_1,P6_9A_1,P6_9B_1,P6_9C_1,P6_9D_1,P6_8_2,P6_9A_2,P6_9B_2,P6_9C_2,P6_9D_2,P6_8_3,P6_9A_3,P6_9B_3,P6_9C_3,P6_9D_3,P6_10_1,P6_10_2,P6_10_3,P6_10_4,P6_11_1,P6_11_2,P6_11_3,P6_11_4,P6_11_5,P6_12_1,P6_12_2,P6_12_3,P6_12_4,P6_12_5,P6_12_6,P6_12_7,P6_12_8,P6_12_9
1,1,1,2,2,2,2,2,2,2,2,2,1,3,2,4,4,4,4,3,4,,,,,,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2
2,1,2,2,2,2,2,2,2,2,2,1,1,3,3,3,,,,,,,,,,,1,1,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2
3,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,,,,,,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2
4,1,2,2,2,2,2,2,2,2,2,3,4,3,4,4,,,,,,,,,,,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1
5,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,4,4,4,,,,,,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2
6,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3,2,3,4,4,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2
7,1,1,2,2,2,2,2,2,2,2,1,1,1,2,4,1,1,1,1,4,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2
8,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,2,3,3,4,4,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
9,1,2,2,2,2,2,2,2,2,2,3,3,2,3,4,,,,,,,,,,,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2
10,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,2,3,3,4,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2
11,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3,4,4,4,4,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
12,1,2,2,2,2,2,2,2,2,2,2,1,3,3,4,,,,,,,,,,,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2
13,1,1,2,2,2,2,2,2,2,2,3,1,2,3,4,3,1,3,3,4,,,,,,2,1,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2
14,1,1,2,2,2,2,2,2,2,2,2,1,2,2,4,3,1,2,2,4,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
15,1,2,2,2,2,2,2,2,2,1,3,2,3,4,4,,,,,,4,3,5,5,5,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
16,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,4,4,4,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
17,1,1,2,2,2,2,2,2,2,2,2,1,1,1,3,3,2,2,2,4,,,,,,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2
18,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,3,4,4,4,4,,,,,,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2
19,1,2,2,2,2,2,2,2,2,2,3,1,3,4,4,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2
20,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,2,1,1,2,4,,,,,,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2
21,1,1,2,2,2,2,2,2,2,2,1,1,2,3,3,2,1,3,3,4,,,,,,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,1,2
22,1,1,2,2,2,2,2,2,2,2,1,2,3,3,4,1,2,3,2,4,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
23,1,2,2,2,2,1,2,2,2,2,4,5,5,5,5,,,,,,3,2,5,5,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
24,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2
25,1,1,2,2,2,2,2,2,2,2,4,1,2,3,4,2,3,4,3,4,,,,,,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
26,1,2,2,2,2,2,1,2,2,2,1,1,1,3,4,,,,,,1,1,3,4,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
27,1,1,2,2,2,2,2,2,2,2,4,2,4,4,4,4,3,4,4,4,,,,,,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1
28,2,2,1,1,2,2,2,2,2,2,,,,,,,,,,,3,3,3,3,4,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1
29,1,2,2,2,2,2,2,2,2,2,1,1,1,1,4,,,,,,,,,,,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
30,1,1,2,2,2,2,2,2,2,2,4,2,4,4,4,3,2,3,3,4,,,,,,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2
31,1,2,2,2,1,2,2,2,2,2,2,1,3,3,4,,,,,,1,2,2,4,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
32,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,3,3,4,,,,,,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
33,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,3,3,3,,,,,,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2
34,1,1,2,2,2,2,2,2,2,2,3,1,2,3,3,3,2,3,4,4,,,,,,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2
35,1,2,2,2,1,2,2,2,2,2,4,1,2,4,4,,,,,,4,2,3,4,4,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2
36,1,1,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,2,3,3,,,,,,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2
37,1,1,2,2,2,2,2,2,2,2,1,1,2,2,4,4,2,4,4,4,,,,,,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2
38,1,2,1,2,2,2,2,2,2,2,4,2,4,4,4,,,,,,2,2,3,3,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2
39,1,2,2,2,1,2,2,2,2,2,1,1,2,3,3,,,,,,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2
40,1,1,2,2,2,2,2,2,2,2,2,1,3,4,5,4,3,4,4,4,,,,,,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2
41,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,,,,,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2
42,1,1,2,2,2,2,2,2,2,2,3,1,3,4,4,4,1,2,4,4,,,,,,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2
43,1,1,2,2,2,2,2,2,2,2,1,1,1,2,4,3,3,3,3,4,,,,,,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1
44,1,1,2,2,2,2,2,2,2,2,1,2,2,3,4,2,3,3,4,4,,,,,,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2
46,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,2,1,3,1,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2
47,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
48,1,1,2,2,2,2,2,2,2,2,3,1,2,2,3,4,2,2,4,4,,,,,,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2
49,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
50,1,1,2,2,2,2,2,2,2,2,3,2,2,4,4,3,4,4,4,4,,,,,,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2
51,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,3,4,,,,,,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2
52,1,1,2,2,2,2,2,2,2,2,1,1,1,2,4,3,1,3,3,4,,,,,,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1
53,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,,,,,,,,,,,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2
54,1,2,2,2,2,2,2,2,2,2,2,1,2,4,4,,,,,,,,,,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
55,2,2,2,2,2,2,1,1,2,2,,,,,,,,,,,2,1,2,1,5,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
56,1,1,2,2,2,2,2,2,2,2,2,1,1,3,4,3,2,2,4,4,,,,,,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2
57,1,2,1,2,2,2,2,2,2,2,2,2,3,3,4,,,,,,3,2,3,4,4,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2
58,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,1,3,3,3,4,2,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2
59,1,2,1,2,2,2,2,2,2,2,3,2,2,3,4,,,,,,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
60,1,2,2,2,2,1,2,2,2,2,2,2,3,4,4,,,,,,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
61,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,4,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
62,1,1,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,2,3,2,,,,,,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2
63,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3,3,3,4,4,,,,,,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2
64,1,1,2,2,2,2,2,2,2,2,3,2,2,4,4,3,2,2,3,4,,,,,,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2
65,1,2,2,2,2,2,1,2,2,2,2,1,2,3,4,,,,,,3,1,3,3,4,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2
66,1,2,1,2,2,2,2,2,2,2,2,2,2,2,4,,,,,,3,3,3,3,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
67,1,1,2,2,2,2,2,2,2,2,2,1,2,3,4,2,1,2,3,4,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2
68,2,2,1,1,2,2,2,2,2,2,,,,,,,,,,,3,4,4,4,4,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2
69,1,1,2,2,2,2,2,2,2,2,3,3,2,3,4,3,3,2,3,4,,,,,,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2
70,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,,,,,,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2
71,1,1,2,2,2,2,2,2,2,2,2,1,4,2,4,4,3,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
72,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,2,2,3,4,4,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
73,1,1,2,2,2,2,2,2,2,2,2,1,3,3,4,3,3,4,4,4,,,,,,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2
74,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,1,4,3,4,,,,,,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2
75,1,1,2,2,2,2,2,2,2,2,1,1,1,4,4,3,4,4,4,4,,,,,,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2
76,1,1,2,2,2,2,2,2,2,2,3,2,2,4,4,1,2,2,3,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2
77,1,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,3,4,,,,,,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2
78,1,1,2,2,2,2,2,2,2,2,1,1,1,2,4,4,3,3,4,4,,,,,,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2
79,1,2,2,2,2,2,2,2,2,2,2,2,3,2,4,,,,,,,,,,,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2
80,1,2,1,2,2,2,2,2,2,2,2,1,1,3,4,,,,,,2,1,2,3,4,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2
81,1,2,1,2,2,2,2,2,2,2,1,1,1,2,4,,,,,,1,1,1,2,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
82,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,2,2,1,3,4,,,,,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2
83,1,1,2,2,2,2,2,2,2,2,1,1,2,2,4,1,1,3,2,4,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
84,1,1,2,2,2,2,2,2,2,2,3,2,3,3,4,3,4,4,4,4,,,,,,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1
85,1,1,2,2,2,2,2,2,2,2,4,3,1,3,3,1,1,1,1,4,,,,,,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2
86,1,1,2,2,2,2,2,2,2,2,1,1,2,1,4,2,3,3,2,4,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
87,1,1,2,2,2,2,2,2,2,2,2,1,2,3,3,4,3,3,4,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
88,1,1,2,2,2,2,2,2,2,2,3,2,4,3,4,3,3,4,3,4,,,,,,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
89,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,2,2,3,,,,,,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2
90,1,1,2,2,2,2,2,2,2,2,4,3,2,3,4,4,4,3,3,3,,,,,,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2
91,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,3,,,,,,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2
92,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,3,3,3,4,4,,,,,,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2
93,1,2,2,2,2,2,2,2,2,2,2,3,4,3,4,,,,,,,,,,,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2
94,1,1,2,2,2,2,2,2,2,2,2,1,1,2,4,2,1,2,2,4,,,,,,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2
95,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,4,,,,,,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2
96,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,4,4,4,,,,,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
97,1,1,2,2,2,2,2,2,2,2,1,2,3,3,4,2,2,3,3,4,,,,,,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2
98,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,4,2,3,4,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
99,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,2,2,3,2,4,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2
100,1,1,2,2,2,2,2,2,2,2,3,2,3,3,4,3,3,4,4,4,,,,,,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
101,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,3,3,3,3,3,,,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2
102,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,,,,,,,,,,,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1
103,1,2,2,2,2,2,2,2,2,2,1,1,2,1,3,,,,,,,,,,,2,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2
104,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,2,2,2,1,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2
105,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3,2,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
106,1,1,2,2,2,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,,,,,,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1
107,1,1,2,2,2,2,2,2,2,2,3,2,3,2,4,2,2,4,4,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2
108,1,1,2,2,2,2,2,2,2,2,2,1,2,2,4,4,2,3,3,4,,,,,,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2
109,1,1,2,2,2,2,2,2,2,2,1,1,1,4,4,2,2,3,4,4,,,,,,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2
110,1,1,2,2,2,2,2,2,2,2,2,1,1,3,4,2,2,2,3,4,,,,,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1
111,1,2,1,2,2,2,2,2,2,2,4,3,3,4,4,,,,,,1,1,1,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
112,1,1,2,2,2,2,2,2,2,2,3,1,2,2,4,4,1,3,3,4,,,,,,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2
113,1,2,2,2,2,1,2,2,2,2,3,3,3,4,4,,,,,,3,3,3,3,4,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2
114,1,1,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,1,1,1,,,,,,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2
115,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,2,1,3,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
116,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,,,,,,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1
